name:ID(Category)
academic-personal
business-legal
core/economics
core/governance
core/identity
core/observability
haiti-diaspora
hardware/campus
hardware/sensing-planes
hardware/shi-node
mesh-services/ai
mesh-services/compute
mesh-services/connectivity
mesh-services/sensors-mobility
meta/platform-scaffolding
meta/simulation
meta/status-tracking
security
verticals/commerce
verticals/home-trades
verticals/social-comm
